EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
10000,1,3,3
10001,3,1,3
10002,3,3,2
10003,2,3,3
10004,1,1,3
10005,2,1,1
10006,3,3,3
10007,2,1,2
10008,2,4,3
10009,4,2,3
10010,4,2,3
10011,4,1,3
10012,1,3,1
10013,3,1,3
10014,3,1,3
10015,4,2,3
10016,4,4,2
10017,2,3,2
10018,2,1,4
10019,4,1,2
10020,3,4,3
10021,3,4,1
10022,2,4,3
10023,1,2,2
10024,1,2,3
10025,1,4,2
10026,1,2,3
10027,4,4,3
10028,2,3,1
10029,1,2,2
10030,4,1,2
10031,2,1,3
10032,2,4,2
10033,1,3,3
10034,4,4,3
10035,1,2,1
10036,4,2,3
10037,4,2,3
10038,3,2,3
10039,4,3,2
10040,2,1,3
10041,3,4,3
10042,3,2,2
10043,2,3,3
10044,4,3,1
10045,3,3,4
10046,4,3,3
10047,4,2,3
10048,3,3,1
10049,3,2,3
