Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
24,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,10000,Male,5,Manager,Divorced,134527,5,Y,18,8,2,30,3,20,14,8
50,No,Travel_Rarely,Research & Development,11,3,Marketing,1,10001,Female,1,Research Director,Married,120378,2,Y,22,8,0,29,2,18,4,0
56,No,Travel_Rarely,Research & Development,19,2,Human Resources,1,10002,Female,1,Manufacturing Director,Married,64046,6,Y,15,8,3,24,5,15,9,10
39,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,10003,Male,2,Research Scientist,Married,108048,4,Y,24,8,1,9,3,27,3,0
41,No,Travel_Rarely,Research & Development,27,3,Medical,1,10004,Female,2,Manufacturing Director,Divorced,101913,0,Y,21,8,0,16,0,4,12,5
44,No,Travel_Rarely,Sales,8,3,Medical,1,10005,Female,1,Manufacturing Director,Married,177464,3,Y,15,8,3,8,4,7,10,4
55,No,Travel_Rarely,Research & Development,4,2,Medical,1,10006,Male,2,Human Resources,Single,174638,7,Y,18,8,2,31,2,14,3,12
54,No,Travel_Rarely,Research & Development,27,3,Life Sciences,1,10007,Female,4,Manufacturing Director,Married,64795,3,Y,17,8,0,23,0,8,4,14
31,Yes,Travel_Rarely,Sales,7,4,Life Sciences,1,10008,Male,3,Manager,Single,140843,1,Y,24,8,1,15,3,17,1,15
54,No,Travel_Rarely,Research & Development,2,2,Technical Degree,1,10009,Male,1,Sales Representative,Married,151142,3,Y,14,8,1,11,4,19,13,4
54,No,Non-Travel,Sales,9,2,Medical,1,10010,Male,1,Research Director,Single,191589,5,Y,14,8,0,34,5,35,10,8
47,No,Non-Travel,Research & Development,21,3,Human Resources,1,10011,Male,2,Sales Representative,Divorced,154430,0,Y,20,8,0,16,2,25,9,10
41,No,Travel_Rarely,Research & Development,18,1,Medical,1,10012,Male,2,Manager,Single,108123,6,Y,17,8,0,28,3,1,5,6
36,No,Travel_Rarely,Sales,14,2,Other,1,10013,Female,2,Research Director,Married,85997,1,Y,23,8,0,35,4,37,9,8
58,No,Travel_Rarely,Research & Development,23,3,Technical Degree,1,10014,Male,2,Research Scientist,Married,133624,3,Y,18,8,0,34,2,5,11,0
54,No,Travel_Rarely,Research & Development,22,3,Life Sciences,1,10015,Female,2,Research Scientist,Married,68485,2,Y,15,8,3,3,6,2,13,0
38,No,Travel_Frequently,Research & Development,26,2,Marketing,1,10016,Male,2,Sales Representative,Divorced,171889,1,Y,20,8,0,6,2,20,7,7
26,No,Travel_Rarely,Research & Development,11,4,Technical Degree,1,10017,Male,1,Sales Representative,Divorced,124717,4,Y,12,8,1,18,1,22,13,1
25,No,Travel_Rarely,Research & Development,16,3,Life Sciences,1,10018,Male,1,Healthcare Representative,Married,115639,0,Y,18,8,0,27,3,25,8,15
24,No,Travel_Rarely,Research & Development,1,3,Human Resources,1,10019,Male,1,Sales Executive,Married,120039,6,Y,24,8,3,21,4,21,2,6
42,No,Travel_Rarely,Research & Development,4,2,Medical,1,10020,Male,2,Manufacturing Director,Married,42764,3,Y,15,8,1,20,2,19,11,0
