EmployeeID,JobInvolvement,PerformanceRating
10000,3,3
10001,3,3
10002,3,3
10003,3,4
10004,3,3
10005,3,4
10006,3,3
10007,1,3
10008,3,4
10009,4,4
10010,3,3
10011,2,3
10012,1,3
10013,2,3
10014,3,3
10015,3,3
10016,3,3
10017,1,4
10018,4,3
10019,2,3
10020,2,3
10021,3,3
10022,3,3
10023,3,3
10024,3,3
10025,2,3
10026,4,3
10027,4,3
10028,2,3
10029,2,3
10030,3,3
10031,1,3
10032,3,3
10033,3,3
10034,3,3
10035,1,3
10036,2,3
10037,2,3
10038,2,3
10039,3,3
10040,3,3
10041,4,4
10042,3,3
10043,3,3
10044,2,3
10045,2,4
10046,4,3
10047,3,3
10048,3,3
10049,1,3
